step,perf/dataload_seconds,perf/samples_per_second,perf/update_seconds,system/gpu_memory_gb,train/episodes,train/epoch,train/grad_norm,train/learning_rate,train/loss,train/samples
9600.0,0.003,217.0,0.144,2.86,2000.0,0.46,1.581,7.7e-05,0.431,307000.0
9650.0,0.003,220.0,0.142,2.86,2000.0,0.46,1.67,7.7e-05,0.427,309000.0
9700.0,0.003,219.0,0.143,2.86,2000.0,0.46,1.494,7.7e-05,0.419,310000.0
9750.0,0.003,224.0,0.14,2.86,2000.0,0.47,1.58,7.7e-05,0.421,312000.0
9800.0,0.003,219.0,0.143,2.87,2000.0,0.47,1.606,7.7e-05,0.426,314000.0
9850.0,0.003,224.0,0.14,2.86,2000.0,0.47,1.611,7.6e-05,0.409,315000.0
9900.0,0.003,222.0,0.142,2.86,2000.0,0.47,1.555,7.6e-05,0.415,317000.0
9950.0,0.003,218.0,0.144,2.86,2000.0,0.48,1.557,7.6e-05,0.418,318000.0
10000.0,0.003,220.0,0.143,2.86,2000.0,0.48,1.537,7.6e-05,0.419,320000.0
10050.0,0.002,229.0,0.137,2.87,2000.0,0.48,1.48,7.6e-05,0.411,322000.0
10100.0,0.003,220.0,0.142,2.86,2000.0,0.48,1.669,7.5e-05,0.419,323000.0
10150.0,0.003,223.0,0.141,2.86,2000.0,0.49,1.666,7.5e-05,0.416,325000.0
10200.0,0.003,221.0,0.142,2.86,2000.0,0.49,1.471,7.5e-05,0.411,326000.0
10250.0,0.003,223.0,0.141,2.86,2000.0,0.49,1.562,7.5e-05,0.408,328000.0
10300.0,0.003,220.0,0.143,2.86,2000.0,0.49,1.498,7.4e-05,0.418,330000.0
10350.0,0.003,217.0,0.145,2.86,2000.0,0.5,1.575,7.4e-05,0.411,331000.0
10400.0,0.003,223.0,0.141,2.86,2000.0,0.5,1.573,7.4e-05,0.409,333000.0
10450.0,0.003,224.0,0.14,2.87,2000.0,0.5,1.76,7.4e-05,0.419,334000.0
10500.0,0.003,219.0,0.143,2.86,2000.0,0.5,1.568,7.3e-05,0.414,336000.0
10550.0,0.003,220.0,0.143,2.86,2000.0,0.5,1.529,7.3e-05,0.414,338000.0
10600.0,0.003,220.0,0.142,2.86,2000.0,0.51,1.65,7.3e-05,0.414,339000.0
10650.0,0.002,219.0,0.143,2.86,2000.0,0.51,1.648,7.3e-05,0.413,341000.0
10700.0,0.003,222.0,0.142,2.86,2000.0,0.51,1.433,7.3e-05,0.398,342000.0
10750.0,0.003,222.0,0.141,2.86,2000.0,0.51,1.653,7.2e-05,0.408,344000.0
